,icsa_code,URL,YEAR,CVES,CVES_URL,ATTENTION,VENDOR,EQUIPMENT,VULNERABILITIES,CRITICAL INFRAESTRUCTURE SECTOR,COUNTRIES\/AREAS DEPLOYED,COMPANY HEADQUARTERS LOCATION,CWES
21,ICSA-21-257-22,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-22,21,['CVE-2021-40357'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-40357'],Exploitable remotely/low attack complexity,Siemens,Teamcenter Active Workspace,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Germany,['22']
22,ICSA-21-257-23,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-23,21,['CVE-2020-28397'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-28397'],Exploitable remotely/low attack complexity,Siemens,"SIMATIC, TIM","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Multiple,Worldwide,Germany,['863']
23,ICSA-21-222-03,https://us-cert.cisa.gov//ics/advisories/icsa-21-222-03,21,"['CVE-2021-33738', 'CVE-2021-32952', 'CVE-2021-32946']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-32946', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-32952', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33738']",Low attack complexity,Siemens,JT2Go & Teamcenter Visualization ,Not Found, Multiple,Worldwide,Germany,"['754', '787', '125']"
24,ISCA-21-222-09,https://us-cert.cisa.gov//ics/advisories/icsa-21-222-09,21,['CVE-2021-37172'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37172'],Exploitable remotely,Siemens,SIMATIC S7-1200 Devices,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Multiple,Worldwide,Germany,['287']
25,ICSA-21-217-01,https://us-cert.cisa.gov//ics/advisories/icsa-21-217-01,21,"['CVE-2020-25927', 'CVE-2021-31401', 'CVE-2021-31226', 'CVE-2020-25926', 'CVE-2021-31227', 'CVE-2021-27565', 'CVE-2021-31400', 'CVE-2020-35683', 'CVE-2020-35684', 'CVE-2020-25928', 'CVE-2020-35685', 'CVE-2021-31228', 'CVE-2021-36762', 'CVE-2020-25767']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-25767', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-25928', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-25927', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-25926', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-35683', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-35684', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-35685', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31400', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31401', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31226', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31227', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31228', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-27565', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-36762']",Exploitable remotely/low attack complexity,HCC Embedded,"InterNiche stack (NicheStack), NicheLite","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Multiple,Worldwide,Hungary,"['466', '130', '130', '330', '20', '20', '330', '248', '20', '20', '839', '340', '703', '170']"
26,ICSA-21-194-03,https://us-cert.cisa.gov//ics/advisories/icsa-21-194-03,21,['CVE-2020-28400'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-28400'],Exploitable remotely/low attack complexity,Siemens ,PROFINET Devices,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Multiple,Worldwide,Germany,['770']
27,ICSA-21-194-06,https://us-cert.cisa.gov//ics/advisories/icsa-21-194-06,21,['CVE-2021-31894'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31894'],Low attack complexity,Siemens,SIMATIC Software Products,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,Germany,['732']
28,ICSA-21-194-13,https://us-cert.cisa.gov//ics/advisories/icsa-21-194-13,21,['CVE-2020-15782'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-15782'],Exploitable remotely/low attack complexity,Siemens,SINAMICS PERFECT HARMONY GH180,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Critical Manufacturing, Energy",Worldwide,Germany,[]
29,ICSA-21-194-17,https://us-cert.cisa.gov//ics/advisories/icsa-21-194-17,21,['CVE-2020-15782'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-15782'],Exploitable remotely/low attack complexity,Siemens,SINUMERIK ONE and SINUMERIK MC,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Germany,['119']
30,ICSA-21-152-01,https://us-cert.cisa.gov//ics/advisories/icsa-21-152-01,21,['CVE-2020-15782'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-15782'],Exploitable remotely,Siemens,SIMATIC S7-1200 and S7-1500 CPU Families,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices."," Chemical, Critical Manufacturing, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,Germany,['119']
31,ICSA-21-131-03,https://us-cert.cisa.gov//ics/advisories/icsa-21-131-03,21,['CVE-2020-25705'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-25705'],Exploitable remotely,Siemens,Linux based products,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Multiple Sectors,Worldwide,Germany,['330']
32,ICSA-21-131-12,https://us-cert.cisa.gov//ics/advisories/icsa-21-131-12,21,"['CVE-2021-27386', 'CVE-2021-25661', 'CVE-2021-25660', 'CVE-2021-27385', 'CVE-2021-27384', 'CVE-2021-27383', 'CVE-2021-25662']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-25660', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-25661', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-25662', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-27383', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-27384', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-27385', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-27386']",Exploitable remotely,Siemens,SIMATIC HMIs/WinCC Products,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Multiple Sectors,Worldwide,Germany,"['788', '788', '755', '119', '788', '400', '119']"
33,ICSA-21-103-07,https://us-cert.cisa.gov//ics/advisories/icsa-21-103-07,21,"['CVE-2021-25669', 'CVE-2021-25668']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-25668', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-25669']",Exploitable remotely/low attack complexity,Siemens,Web Server of SCALANCE X200,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Critical Manufacturing,Worldwide,Germany,"['122', '121']"
34,ICSA-21-068-10,https://us-cert.cisa.gov//ics/advisories/icsa-21-068-10,21,['CVE-2019-3823'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-3823'],Exploitable remotely/low attack complexity,Siemens,SCALANCE and SIMATIC,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as the connected devices.", Multiple,Worldwide,Germany,['125']
35,ICSA-21-040-05,https://us-cert.cisa.gov//ics/advisories/icsa-21-040-05,21,['CVE-2020-25238'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-25238'],Low attack complexity,Siemens,TIA Portal and PCS neo,Not Found, Critical Manufacturing,Worldwide,Germany,['284']
36,ICSA-21-012-02,https://us-cert.cisa.gov//ics/advisories/icsa-21-012-02,21,"['CVE-2020-28395', 'CVE-2020-28391']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-28391', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-28395']",Exploitable remotely/low attack complexity,Siemens,"SCALANCE X200, X200IRT, X300",Not Found, Multiple Sectors,Worldwide,Germany,"['321', '321']"
37,ICSA-21-012-05,https://us-cert.cisa.gov//ics/advisories/icsa-21-012-05,21,"['CVE-2020-25226', 'CVE-2020-15799', 'CVE-2020-15800']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-15799', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-15800', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-25226']",Exploitable remotely/low attack complexity,Siemens,SCALANCE X Products,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Germany,"['306', '122', '122']"
38,ICSA-20-324-05,https://us-cert.cisa.gov//ics/advisories/icsa-20-324-05,20,['CVE-2020-5668'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-5668'],Exploitable remotely/low attack complexity,Mitsubishi Electric,MELSEC iQ-R series,Not Found, Critical Manufacturing,Worldwide,Japan,['400']
39,ICSA-20-161-04,https://us-cert.cisa.gov//ics/advisories/icsa-20-161-04,20,['CVE-2020-7580'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-7580'],Low attack complexity,Siemens,"SIMATIC, SINAMICS, SINEC, SINEMA, SINUMERIK",Not Found," Chemical, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,Germany,['428']
40,ICSA-20-105-07,https://us-cert.cisa.gov//ics/advisories/icsa-20-105-07,20,['CVE-2019-19301'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-19301'],Exploitable remotely/low attack complexity,Siemens,"SCALANCE, SIMATIC","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Germany,['400']
41,ICSA-20-042-04,https://us-cert.cisa.gov//ics/advisories/icsa-20-042-04,20,['CVE-2019-13946'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-13946'],Exploitable remotely/low attack complexity,Siemens,Siemens PROFINET-IO Stack,Not Found, Critical Manufacturing,Worldwide,Germany,['400']
42,ICSA-19-253-03,https://us-cert.cisa.gov//ics/advisories/icsa-19-253-03,19,"['CVE-2019-8460', 'CVE-2019-11478', 'CVE-2019-11479', 'CVE-2019-11477']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-8460', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-11477', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-11478', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-11479']",Exploitable remotely/low attack complexity,Siemens,Industrial Products,"When remote access is required, use secure methods, such as virtual private networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,Germany,"['1049', '190', '400', '400']"
43,ICSA-19-225-03,https://us-cert.cisa.gov//ics/advisories/icsa-19-225-03,19,['CVE-2019-10942'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-10942'],Exploitable remotely/low attack complexity,Siemens,SCALANCE X switches,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Energy, Food and Agriculture, and Water and Wastewater Systems",Worldwide,Germany,['410']
44,ICSA-21-252-01,https://us-cert.cisa.gov//ics/advisories/icsa-21-252-01,21,['CVE-2021-38410'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-38410'],Low attack complexity,AVEVA,Platform Common Services (PCS) Portal,Not Found," Chemical, Critical Manufacturing, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,United Kingdom,['427']
45,ICSA-21-252-02,https://us-cert.cisa.gov//ics/advisories/icsa-21-252-02,21,"['CVE-2021-38404', 'CVE-2021-38406', 'CVE-2021-38402']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-38402', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-38406', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-38404']",Low attack complexity,Delta Electronics,DOPSoft 2,Not Found, Critical Manufacturing,Worldwide,Taiwan,"['121', '787', '122']"
46,ICSA-21-252-03,https://us-cert.cisa.gov//ics/advisories/icsa-21-252-03,21,"['CVE-2019-14926', 'CVE-2019-14929', 'CVE-2019-14925', 'CVE-2019-14928', 'CVE-2019-14931', 'CVE-2019-14927', 'CVE-2019-14930']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-14931', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-14927', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-14928', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-14926', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-14930', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-14929', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-14925']",Exploitable remotely/low attack complexity,Mitsubishi Electric Europe B.V.,smartRTU and INEA ME-RTU,Not Found, Critical Manufacturing,Worldwide,Japan,"['78', '284', '79', '798', '798', '256', '276']"
47,ICSA-20-245-01,https://us-cert.cisa.gov//ics/advisories/icsa-20-245-01,20,['CVE-2020-16226'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-16226'],Exploitable remotely/low attack complexity,Mitsubishi Electric,Multiple Products,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Japan,['342']
